セクション,項目,奥迪A6L 2026款 40 TFSI 豪华动感型,奥迪A6L 2026款 45 TFSI 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型,奥迪A6L 2026款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2026款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 40 TFSI 豪华动感型,奥迪A6L 2025款 改款 45 TFSI 臻选动感型,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,奥迪A6L 2025款 改款 45 TFSI quattro 臻选动感型,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,奥迪A6L 2025款 改款 55 TFSI quattro 尊享动感型,奥迪A6L 2025款 改款 55 TFSI quattro 旗舰动感型,奥迪A6L 2027款 基本型
,厂商指导价(元),42.79万 计算器,45.49万 计算器,47.99万 计算器,49.98万 计算器,55.89万 计算器,42.79万 计算器,45.49万 计算器,45.49万 计算器,47.99万 计算器,49.98万 计算器,55.89万 计算器,65.68万 计算器,预售 暂无报价 计算器
,经销商报价,30.81万起 询底价,32.75万起 询底价,34.55万起 询底价,35.99万起 询底价,45.83万起 询底价,29.65万起 询底价,31.54万起 询底价,30.93万起 询底价,33.29万起 询底价,34.69万起 询底价,42.74万起 询底价,50.27万起 询底价,暂无报价 询底价
基本参数,厂商,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪,一汽奥迪
基本参数,级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
基本参数,能源类型,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油,汽油,汽油,汽油,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油
基本参数,环保标准,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
基本参数,上市时间,2025.10,2025.10,2025.10,2025.10,2025.10,2025.01,2025.01,2025.03,2025.01,2025.02,2025.01,2025.01,-
基本参数,最大功率(kW),140,180,180,180,250,140,180,180,180,180,250,250,200
基本参数,最大扭矩(N·m),320,370,370,370,500,320,370,370,370,370,500,500,-
基本参数,变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
基本参数,车身结构,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
基本参数,发动机,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,2.0T 190马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,2.0T 245马力 L4,3.0T 340马力 V6,3.0T 340马力 V6,2.0T 272马力 L4
基本参数,长*宽*高(mm),5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5050*1886*1475,5142 *1887*1464
基本参数,官方0-100km/h加速(s),9.2,7.4,7.2,7.2,5.6,9.2,7.4,7.4,7.2,7.2,5.6,5.6,-
基本参数,最高车速(km/h),230,250,250,250,250,230,250,250,250,250,250,250,250
基本参数,WLTC综合油耗(L/100km),7.02,7.3,7.78,7.78,8.5,7.02,7.3,7.3,7.78,7.78,8.5,8.5,-
基本参数,整车质保,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里,● 三年或10万公里
基本参数,整备质量(kg),1795,1810,1880,1880,1995,1795,1810,1810,1880,1880,1995,1995,2060
基本参数,最大满载质量(kg),2320,2350,2385,2385,2505,2320,2350,2350,2385,2385,2505,2505,2595
车身,长度(mm),5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5050,5142
车身,宽度(mm),1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1887
车身,高度(mm),1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1475,1464
车身,轴距(mm),3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3024,3066
车身,前轮距(mm),1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1630,1625
车身,后轮距(mm),1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1616,1610
车身,满载最小离地间隙(mm),117,117,117,117,117,117,117,117,117,117,117,117,-
车身,接近角(°),15,15,15,15,14,15,15,15,15,15,14,14,13
车身,离去角(°),14,14,14,14,17,14,14,14,14,14,17,17,14
车身,车身结构,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
